"rides","end station name","end station latitude","end station longitude"
1068,"E 89 St & 3 Ave",40.7806284,-73.9521667
848,"W 87 St & West End Ave",40.789622,-73.97757
1348,"E 88 St & 1 Ave",40.778301,-73.9488134
683,"W 90 St & Amsterdam Ave",40.79017948095081,-73.97288918495178
840,"E 89 St & York Ave",40.7779453,-73.946041
919,"5 Ave & E 93 St",40.7857851,-73.957481
721,"W 92 St & Broadway",40.7921,-73.9739
627,"E 91 St & Park Ave",40.7835016,-73.955327
1738,"Central Park W & W 96 St",40.79127,-73.964839
590,"E 93 St & 2 Ave",40.782454175279874,-73.9489196240902
525,"6 St & 7 Ave",40.6686627,-73.97988067
286,"Warren St & Court St",40.686371,-73.99383324
303,"E 98 St & Park Ave",40.78813,-73.95206
747,"Reade St & Broadway",40.71450451,-74.00562789
588,"Prospect Park West & 8 St",40.66514681533792,-73.97637605667114
1717,"Columbus Ave & W 95 St",40.7919557,-73.968087
251,"Columbus Ave & W 103 St",40.7969347,-73.9643412291
278,"Butler St & Court St",40.6849894,-73.99440329
241,"6 Ave & 9 St",40.668127,-73.98377641
1209,"E 91 St & 2 Ave",40.78112229934166,-73.94965589046478
379,"10 St & 7 Ave",40.6662078,-73.98199886
976,"West End Ave & W 94 St",40.7941654,-73.974124
297,"Kane St & Clinton St",40.6861758,-73.99645295
464,"E 97 St & 3 Ave",40.7859201,-73.94860294
997,"Pike St & Monroe St",40.71173107,-73.99193043
412,"14 St & 7 Ave",40.663779,-73.98396846
467,"Columbia St & Kane St",40.68763155,-74.0016256
957,"1 Ave & E 94 St",40.7817212,-73.94594
281,"6 Ave & 12 St",40.6663181,-73.9854617
1178,"W 95 St & Broadway",40.7937704,-73.971888
453,"Henry St & Degraw St",40.6847514,-73.99917254
244,"10 St & 5 Ave",40.6686273,-73.98700053
1153,"2 Ave & E 96 St",40.7839636,-73.9471673
549,"14 St & 5 Ave",40.666287,-73.98895053
1483,"Cherry St",40.71219906,-73.97948148
1642,"Central Park West & W 100 St",40.79406660818552,-73.96286845207214
278,"Clinton St & Union St",40.6831164,-73.99785267
295,"12 St & 4 Ave",40.668603,-73.9904394
1004,"W 106 St & Central Park West",40.7981856,-73.9605909006
264,"3 Ave & 14 St",40.6685455,-73.99333264
550,"E 95 St & 3 Ave",40.7849032,-73.950503
128,"Clinton St & Centre St",40.67434,-74.00194698
363,"3 Ave & E 100 St",40.7877214,-73.94728331
797,"W 100 St & Manhattan Ave",40.795,-73.9645
279,"Degraw St & Smith St",40.6829151,-73.99318208
125,"Henry St & Bay St",40.6725058,-74.00494695
1036,"Riverside Dr & W 104 St",40.8013434,-73.9711457439
256,"Degraw St & Hoyt St",40.681990442707026,-73.99079024791718
130,"Columbia St & Lorraine St",40.6747055,-74.0075572
444,"Union St & 4 Ave",40.6772744,-73.98282002
1040,"E 97 St & Madison Ave",40.787801,-73.953559
304,"Dwight St & Van Dyke St",40.67363551341504,-74.01195555925369
406,"2 Ave & E 99 St",40.7862586,-73.94552579
257,"Berkeley Pl & 6 Ave",40.6765304,-73.97846879
1658,"W 20 St & 7 Ave",40.74238787,-73.99726235
74,"Wolcott St & Dwight St",40.6753274,-74.0100698
497,"Central Park West & W 102 St",40.795346,-73.96186
90,"Pioneer St & Richards St",40.6777748,-74.0094613
604,"W 107 St & Columbus Ave",40.7997568,-73.9621128676
231,"Pioneer St & Van Brunt St",40.679043,-74.011169
949,"Madison Ave & E 99 St",40.78948541553215,-73.95242929458618
449,"Berkeley Pl & 7 Ave",40.675146838709786,-73.97523209452629
285,"Van Brunt St & Wolcott St",40.6773429,-74.01275056
417,"Coffey St & Conover St",40.677236,-74.015665
2065,"Grand Army Plaza & Plaza St West",40.6729679,-73.97087984
659,"Washington Pl & Broadway",40.72903917,-73.99404649
1354,"W 100 St & Broadway",40.7973721,-73.97041192
1079,"E 102 St & 1 Ave",40.7869946,-73.94164802
226,"Sigourney St & Columbia St",40.67267243410948,-74.0087952464819
1249,"3 St & Prospect Park West",40.668132,-73.97363831
532,"E 66 St & Madison Ave",40.76800889305947,-73.96845281124115
559,"Amsterdam Ave & W 66 St",40.7746671,-73.98470567
705,"W 106 St & Amsterdam Ave",40.8008363,-73.9664492472
319,"Garfield Pl & 8 Ave",40.6711978,-73.97484126
396,"E 68 St & Madison Ave",40.7691572,-73.96703464
1161,"Sullivan St & Washington Sq",40.73047747,-73.99906065
1265,"Amsterdam Ave & W 79 St",40.7829391,-73.9786517
304,"Carroll St & 6 Ave",40.6740886,-73.9787282
668,"Madison Ave & E 82 St",40.7781314,-73.96069399
425,"E 102 St & Park Ave",40.7904828,-73.95033068
336,"Carroll St & 5 Ave",40.6751622,-73.9814832
339,"3 St & 7 Ave",40.6703837,-73.97839676
720,"West End Ave & W 107 St",40.8021174,-73.9681805305
1295,"5 Ave & E 103 St",40.7922553,-73.95249933
488,"5 Ave & 3 St",40.6728155,-73.98352355
733,"E 82 St & East End Ave",40.7724607,-73.9468208
753,"E 78 St & 2 Ave",40.7727966,-73.95577801
1144,"E 74 St & 1 Ave",40.7689738,-73.95482273
386,"3 St & 3 Ave",40.6750705,-73.98775226
2187,"Central Park North & Adam Clayton Powell Blvd",40.799484,-73.955613
647,"3 Ave & E 72 St",40.7699426,-73.96060712
770,"E 65 St & 2 Ave",40.76471851944339,-73.96222069859505
313,"Carroll St & Bond St",40.6786115,-73.99037292
586,"E 76 St & Park Ave",40.773763,-73.96222088
509,"E 103 St & Lexington Ave",40.7903051,-73.94755757
177,"3 St & Hoyt St",40.6777287,-73.99364123
413,"Carroll St & Smith St",40.680611,-73.99475825
1325,"Cathedral Pkwy & Broadway",40.804213,-73.96699104
250,"Smith St & 3 St",40.6787242,-73.99599099
228,"1 Pl & Clinton St",40.6809591,-73.99905709
378,"E 106 St & Madison Ave",40.7934337,-73.94945003
269,"President St & Henry St",40.6828003,-73.99990419
354,"Carroll St & Columbia St",40.6830456,-74.00348559
